"English STEM Instructional Sentence (Input X)", "Expert Tonal Translation & Morphology (Ground Truth Y)"
"Power is the rate of doing work.", "Agbára-iṣẹ́ ni oṣùwọ̀n ṣíṣẹ́.",
"Animal nutrition depends on balanced feeds.", "Oúnjẹ ẹran ń bẹ lórí oúnjẹ dídọ́gba.",
"Magnetic flux measures magnetic field lines.", "Ìṣàn-mágíńtì ń wọ̀n àwọn ìlà ààyè mágíńtì.",
"Tangent equals opposite over adjacent.", "Tànjẹ́ǹtì dọ́gba pẹ̀lú ìkọ̀rí igun lórí ẹ̀gbẹ́-tòsí."
"Newton's third law states that for every action there is an equal and opposite reaction.", "Òfin kẹ́ta Newton sọ pé fún gbogbo ìṣiṣẹ́, ìdáhùn kan wà tí ó dọ́gba tí ó sì ta kò ó.",
"Isotopes are atoms of the same element with different neutron numbers.", "Ísótópù ni àwọn átọ́mù ẹ̀yà kẹ́míkà kan náà tí ó ní iye niútrónì yàtọ̀.",
"Osmosis is the diffusion of water through a semi-permeable membrane.", "Ọ̀smósì ni rírìn omi gba mẹ́mírẹ̀nì tí ó ń gba àwọn nǹkan kọjá ní ìwọ̀n kan.",
"A right-angled triangle has one ninety-degree angle.", "Tíríàngùlù oní-igun-ọ̀tún ní igun kan tí ó jẹ́ àádọ́rùn-ún díírì.",
"Ohm's law states that current is proportional to voltage.", "Òfin Ohm sọ pé kọ́ọ̀ǹtì dọ́gba pẹ̀lú wọ́ọ̀tájì.",
"Soil texture is determined by the size of soil particles.", "Ìrísí ilẹ̀ ni a ń pinnu nípasẹ̀ ìwọ̀n àwọn nǹkan wẹẹrẹ nínú ilẹ̀.",
"Animal feed must provide essential nutrients for growth.", "Oúnjẹ ẹran gbọ́dọ̀ pèsè àwọn nǹkan-ìṣẹ̀dá tí ó ṣe pàtàkì fún ìdàgbàsókè.",
"Poultry housing must be well-ventilated to prevent disease.", "Ilé-ẹ̀yẹ gbọ́dọ̀ ní afẹ́fẹ́ tó dára láti dènà àrùn.",
"Irrigation systems optimize water usage in farming.", "Ètò ìtọ́jú-omi ń mú kí lílo omi dára sí i nínú iṣẹ́-ògbìn.",
"Integrated pest management controls crop damage.", "Ìṣàkóso kòkòrò-irúgbìn ń dènà ìpalára irúgbìn.",
"Organic manure improves soil structure over time.", "Ààtàn-ọ̀rọ̀ ń mú kí ìrísí ilẹ̀ dára sí i bí àkókò ti ń lọ.",
"Selective breeding is used to enhance livestock traits.", "Ìbímọ-ọlọ́nà ń mú kí àwọn ànímọ́ ẹran-ọ̀sìn dára sí i.",
"Vaccination builds immunity against common livestock diseases.", "Ìtẹ̀jú-àìsàn ń mú kí ẹran ní agbára láti kọ àrùn.",
"Proper crop storage reduces post-harvest losses.", "Ìtọ́jú irúgbìn tí ó dára ń dín àdánù ìkórè kù.",
"Feed additives improve the nutritional value of animal feed.", "Àfikún oúnjẹ ń mú kí oúnjẹ ẹran ní agbára oúnjẹ tó dára sí i.",
"The cell wall provides structural support to plants.", "Ògiri sẹ́ẹ̀lì ń pèsè ìrànlọ́wọ́ fún àwọn ewéko.",
"Potential energy is converted into kinetic energy during motion.", "Agbára ìpamọ́ ń yípadà di agbára ìsúnni nínú ìrìn.",
"Acids and bases react to form salt and water.", "Ásìdì àti béesì ń ṣiṣẹ́ pọ̀ láti mú iyọ̀ àti omi wá.",
"The speed of sound depends on the temperature of the medium.", "Ìyára ìró ń bẹ lórí ìwọ̀n ooru ohun tí ó ń rìn gba.",
"Algebraic expressions use variables to represent unknown numbers.", "Ìṣirò àlíjíbírà ń lo fẹ́ríábùlù láti dúró fún àwọn nọ́mbà tí a kò mọ̀."
"Work done is zero if there is no displacement.", "Iṣẹ́ tí a ṣe jẹ́ odo bí kò bá sí àyípadà ìfipò.",
"A compound is formed by chemically combined elements.", "Nǹkan kẹ́míkà ni a ń dá nípa mímú àwọn ẹ̀yà kẹ́míkà pọ̀.",
"The chloroplast captures sunlight for photosynthesis.", "Kílórópíláàsì ń kó ìmọ́lẹ̀ oòrùn jọ fún ìṣiṣẹ́-oòrùn-sínú-ewé.",
"An obtuse angle is greater than ninety degrees.", "Igun ọ̀tún-tẹ̀-síwájú tóbi ju àádọ́rùn-ún díírì lọ.",
"Resistance opposes the flow of electric current.", "Ìdènà-kọ́ọ̀ǹtì ń ta kò ṣíṣàn kọ́ọ̀ǹtì ẹ̀lékítíríkì.",
"The root system anchors the plant in the soil.", "Ètò gbòngbò ń mú kí ewéko dúró ṣinṣin nínú ilẹ̀.",
"Balanced fertilizers supply nitrogen, phosphorus, and potassium.", "Ààtàn-ọ̀rọ̀ dídọ́gba ń pèsè náìtróójẹ̀nì, fọ́sífọ́rọ̀sì, àti pótáṣììùmù.",
"Incubation is necessary for egg hatching.", "Ìtọ́jú-ẹyin ṣe pàtàkì fún bíbọ́ ẹyin.",
"A saturated solution contains the maximum amount of solute.", "Sọ́lúṣọ̀nù tí ó kún ní iye nǹkan tí a yọ́ tó pọ̀ jù.",
"The frequency of a wave is the number of cycles per second.", "Ìgbà-ìrìn ìró ni iye àwọn ìyípadà fún ìṣẹ́jú-àáyá kan.",
"Chemical symbols are used to represent elements.", "Àmì kẹ́míkà ni a ń lò láti dúró fún àwọn ẹ̀yà kẹ́míkà.",
"The cell membrane is selectively permeable.", "Mẹ́mírẹ̀nì sẹ́ẹ̀lì ń jẹ́ kí àwọn nǹkan kan wọlé tàbí jáde.",
"A recessive allele is masked by a dominant allele.", "Àlẹ́ẹlì tí kò lágbára ni àlẹ́ẹlì tí ó lágbára ń bò mọ́lẹ̀.",
"Potential energy transforms into kinetic energy.", "Agbára ìpamọ́ ń yípadà di agbára ìsúnni.",
"Crop pests include aphids and beetles.", "Kòkòrò-irúgbìn ní kòkòrò-afìdì àti kòkòrò-bítììlì nínú.",
"Weed control prevents competition for soil nutrients.", "Ìṣàkóso ìyọko ń dènà ìdíje fún oúnjẹ ilẹ̀.",
"Animal manure is rich in nitrogen.", "Ààtàn ẹran ní ọ̀pọ̀ náìtróójẹ̀nì nínú.",
"A thermometer uses mercury or alcohol to measure heat.", "Tẹ́ámómítà ń lo mẹ̀kúrì tàbí álkóòlù láti wọ̀n ooru.",
"The mass of an object is constant regardless of location.", "Ìwọ̀n ara nǹkan jẹ́ ohun tí kò yípadà láìkà ibi tí ó wà sí.",
"Vector addition follows the triangle law.", "Ìdapọ̀ vẹ́kítọ̀ ń tẹ̀lé òfin tíríàngùlù."
"The second law of thermodynamics relates to entropy.", "Òfin kejì ìrìn-ooru ní nǹkan ṣe pẹ̀lú èńtírópì.",
"A balanced chemical equation obeys the law of conservation of mass.", "Ìdọ́gba ìṣirò kẹ́míkà ń tẹ̀lé òfin ìtọ́jú ìwọ̀n ara.",
"Xylem transports water in plants.", "Ksaílẹ̀mù ń gbé omi kọjá nínú ewéko.",
"The sum of internal angles in a quadrilateral is 360 degrees.", "Ìdapọ̀ igun nínú kwadrílatẹ́ràlù jẹ́ ọgọ́rùn-ún mẹ́ta àti ọgọ́ta díírì.",
"Electric potential is the energy per unit charge.", "Ìwọ̀n agbára ẹ̀lékítíríkì ni agbára fún ìkọ̀ọ̀kan ẹ̀sùn.",
"Soil pH influences nutrient absorption.", "pH ilẹ̀ ń kan bí irúgbìn yóò ṣe gba oúnjẹ.",
"Balanced feed increases livestock weight gain.", "Oúnjẹ dídọ́gba ń mú kí ẹran sanra.",
"Fungicides control fungal diseases in crops.", "Oògùn-fángì ń ṣàkóso àwọn àrùn fángì nínú irúgbìn.",
"A saturated solution cannot dissolve more solute.", "Sọ́lúṣọ̀nù tí ó kún kò leè yọ́ nǹkan mọ́.",
"The frequency of a light wave determines its color.", "Ìgbà-ìrìn ìmọ́lẹ̀ ń pinnu àwọ̀ rẹ̀.",
"Chemical properties depend on electron configuration.", "Ànímọ́ kẹ́míkà ń bẹ lórí ìṣètò ẹ̀lékítírónì.",
"Phloem transports food produced in leaves.", "Fólẹ̀mù ń gbé oúnjẹ tí a ṣe nínú ewé.",
"A right angle measures exactly ninety degrees.", "Igun ọ̀tún ní ìwọ̀n àádọ́rùn-ún díírì gangan.",
"Nuclear fusion powers the sun.", "Ìdàpọ̀ niúkíléọ̀sì ni ó ń fún oòrùn ní agbára.",
"Soil aeration is important for root growth.", "Afẹ́fẹ́ nínú ilẹ̀ ṣe pàtàkì fún ìdàgbàsókè gbòngbò.",
"Cross-breeding improves milk production in cattle.", "Ìbímọ-ọlọ́nà ń mú kí mímú wàrà màlúù dára sí i.",
"Antibiotics treat bacterial infections in livestock.", "Oògùn-àìsàn-báktíríà ń tọ́jú àwọn àrùn báktíríà nínú ẹran.",
"Crop residues can be used as organic manure.", "Ìyókù irúgbìn leè jẹ́ lílò gẹ́gẹ́ bí ààtàn-ọ̀rọ̀.",
"The boiling point of a liquid increases with pressure.", "Ìwọ̀n tí omi ń hó ń pọ̀ sí i pẹ̀lú ìfúnni.",
"Variable components are denoted by letters in algebra.", "Àwọn apá fẹ́ríábùlù ni a ń fi lẹ́tà hàn nínú àlíjíbírà."
"Vectors represent physical quantities with magnitude and direction.", "Vẹ́kítọ̀ ń dúró fún ìwọ̀n ara pẹ̀lú ìtọ́sọ́nà àti ìwọ̀n.",
"A compound microscope uses two lenses for magnification.", "Míkírósíkópù onípò-méjì ń lo lẹ́nsì méjì fún títóbi.",
"The atomic structure includes a central nucleus.", "Ìlànà átọ́mù ní niúkíléọ̀sì tí ó wà láàárín nínú.",
"Photosynthesis occurs in the presence of chlorophyll.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń ṣẹlẹ̀ níwájú kílórófììlù.",
"Crop rotation prevents soil nutrient depletion.", "Ìyípadà-irúgbìn ń dènà ìkọ̀wẹ́ oúnjẹ ilẹ̀.",
"Animal husbandry requires proper record keeping.", "Ìtọ́jú ẹran ní í ṣe pẹ̀lú kíkọ àwọn ìsọfúnni sílẹ̀.",
"A balanced chemical equation shows the law of conservation of mass.", "Ìdọ́gba ìṣirò kẹ́míkà ń tẹ̀lé òfin ìtọ́jú ìwọ̀n ara.",
"Voltage is the potential difference between two points.", "Ìyàtọ̀ agbára ni ìyàtọ̀ agbára láàárín àwọn ibi méjì.",
"The area of a triangle is half base times height.", "Ààyè tíríàngùlù ni ìdajì ìpìlẹ̀ tísì gíga.",
"DNA is the hereditary material in organisms.", "DNA ni nǹkan ìjogún nínú àwọn ẹ̀dá alààyè.",
"An acid reacts with a base to form water and salt.", "Ásìdì àti béesì ń ṣiṣẹ́ pọ̀ láti mú omi àti iyọ̀ wá.",
"Irrigation improves crop yields in the dry season.", "Ìtọ́jú-omi ń mú kí ìkórè irúgbìn pọ̀ sí i ní ẹ̀ẹ̀rùn.",
"The heart is the primary organ of the circulatory system.", "Ọkàn ni ẹ̀yà-ara tí ó ṣe pàtàkì jù nínú ètò ìṣàn ẹ̀jẹ̀.",
"A pulley is a simple machine that makes lifting easier.", "Púlì jẹ́ ẹ̀rọ kan tí ó rọrùn tí ó ń mú kí gígé nǹkan rọrùn.",
"Soil fertility is vital for agricultural production.", "Ìlera ilẹ̀ ṣe pàtàkì fún iṣẹ́-ògbìn.",
"Chromosomes are located in the cell nucleus.", "Kírómósómù ń bẹ nínú niúkíléọ̀sì sẹ́ẹ̀lì.",
"Wavelength is the distance between two consecutive crests.", "Ìgùn-ìtànṣán ni ìjìnnà láàárín àwọn òkè méjì tí ó tẹ̀lé ara wọn.",
"The periodic table lists elements by atomic number.", "Tábìlì ìtẹ̀lé-ìwọ̀n ń ṣàkójọ àwọn ẹ̀yà kẹ́míkà nípasẹ̀ nọ́mbà átọ́mù.",
"Vaccination protects livestock from fatal diseases.", "Ìtẹ̀jú-àìsàn ń dáàbò bo àwọn ẹran-ọ̀sìn lọ́wọ́ àwọn àrùn tí ó ń pa nǹkan.",
"Centripetal force acts towards the center.", "Agbára tí ó ń fa nǹkan sínú ń ṣiṣẹ́ sí ibùdó."
"Acceleration is the rate of change of velocity.", "Ìyára kánkán ni oṣùwọ̀n àyípadà ìyára.",
"The atomic mass is the sum of protons and neutrons.", "Ìwọ̀n ara átọ́mù ni ìdapọ̀ àwọn pùrótónì àti niútrónì.",
"Meiosis produces gametes for reproduction.", "Mẹ́íósì ń pèsè gámẹ́tì fún ìbímọ.",
"The cosine of an angle is adjacent over hypotenuse.", "Kósáìnì igun jẹ́ ẹ̀gbẹ́-tòsí lórí ìtẹ̀wọ̀n-igun-ọ̀tún.",
"Proper storage prevents pest infestation.", "Ìtọ́jú tí ó dára ń dènà ìkọlù àwọn kòkòrò.",
"Resistance is measured in Ohms.", "Ìdènà-kọ́ọ̀ǹtì ni a ń wọ̀n ní Óòmù.",
"Noble gases are inert due to stable electron configuration.", "Gáàsì ọlọ́lá kò ní àyípadà nítorí ìṣètò ẹ̀lékítírónì tí ó dúró ṣinṣin.",
"The endocrine system regulates body hormones.", "Ètò ẹ̀yà-ara-ọlọ́lá ń ṣàkóso àwọn hómónì nínú ara.",
"Livestock vaccination prevents outbreaks of contagious diseases.", "Ìtẹ̀jú-àìsàn ẹran-ọ̀sìn ń dènà ìtànkálẹ̀ àrùn ajakálẹ̀.",
"A prime factor is a factor that is a prime number.", "Onípín ọ̀tọ̀ ni onípín tí ó jẹ́ nọ́mbà ọ̀tọ̀.",
"Sound requires a medium to travel.", "Ìró nílò ohun tí ó ń gba kọjá láti rìn.",
"An indicator changes color in acids and bases.", "Àmì ń yí àwọ̀ padà nínú ásìdì àti béesì.",
"Proteins are made of amino acids.", "Prótììnù ni a ń ṣe láti inú ásìdì ámínò.",
"Organic farming avoids synthetic fertilizers.", "Iṣẹ́-ògbìn ọ̀rọ̀-àdánidá ń yẹra fún àwọn ààtàn tí a ṣe lọ́wọ́.",
"Circumference is the distance around a circle.", "Ìyípo jẹ́ ìjìnnà tí ó yí síríkì ká.",
"Power is the rate at which work is performed.", "Agbára-iṣẹ́ ni oṣùwọ̀n iṣẹ́ tí a ṣe.",
"The atomic number is the count of protons in the nucleus.", "Nọ́mbà átọ́mù ni iye àwọn pùrótónì nínú niúkíléọ̀sì.",
"Overgrazing leads to soil degradation.", "Jíjẹ-ilẹ̀-pọ̀ ń fa ìbàjẹ́ ilẹ̀.",
"Respiration involves the breakdown of glucose.", "Ìmí-kúrò ń lo ìfọ́ gúlúkóòsì.",
"A rhombus has four equal sides but not necessarily right angles.", "Rọ́mbùsì ní ẹ̀gbẹ́ mẹ́rin tí ó dọ́gba ṣùgbọ́n igun rẹ̀ kò dandan kí ó jẹ́ igun ọ̀tún."
"Thermal conductivity relates to the rate of heat transfer.", "Ìwọ̀n-ìṣàn-ooru ń bá ìyára ìṣàn ooru ṣiṣẹ́.",
"A vacuum is a space devoid of matter.", "Òfo jẹ́ ààyè tí kò ní ọ̀rọ̀ nínú.",
"Genotype is the genetic makeup of an organism.", "Jẹ́nótáìpù ni ìṣètò ìjogún nǹkan alààyè.",
"Phenotype is the observable physical characteristic.", "Fẹ́nótáìpù ni ànímọ́ tí a lè rí lára nǹkan.",
"The mole is the unit of amount of substance.", "Mólù ni ìwọ̀n iye nǹkan nínú sọ́lúṣọ̀nù.",
"Stoichiometry calculates quantities in chemical reactions.", "Ìṣirò-kẹ́míkà ń ṣirò iye nǹkan nínú ìṣiṣẹ́ kẹ́míkà.",
"Refractive index measures light bending capability.", "Ìwọ̀n ìyípadà-ọ̀nà ń wọ̀n agbára títẹ̀ ìmọ́lẹ̀.",
"An animal's diet must include roughage.", "Oúnjẹ ẹran nílò rọ́fììjì fún ìdọ́hun-ṣe.",
"Soil mulching prevents excessive water loss.", "Ìtọ́jú-ilẹ̀ pẹ̀lú ewéko ń dènà ìpàdánù omi.",
"A catalyst increases the reaction rate.", "Kátálísì ń mú kí ìṣiṣẹ́ kẹ́míkà yára.",
"Kinetic energy is mass times velocity squared divided by two.", "Agbára ìsúnni ni ìwọ̀n ara tísì ìyára kánkán láìjẹ́ méjì.",
"The cerebellum controls balance and coordination.", "Sẹ́rẹ́bẹ́lùmù ń ṣàkóso ìdọ́gba àti ìbáṣepọ̀ ara.",
"An isotope has a different number of neutrons.", "Ísótópù ní iye niútrónì tí ó yàtọ̀.",
"Crop irrigation reduces dependence on rainfall.", "Ìtọ́jú-omi ń dín ìgbẹ́kẹ̀lé lé òjò kù.",
"Poultry litter can be used as organic fertilizer.", "Ààtàn-ẹyẹ leè jẹ́ lílò gẹ́gẹ́ bí ààtàn-ọ̀rọ̀.",
"A vector quantity requires magnitude and direction.", "Ìwọ̀n vẹ́kítọ̀ ní ìtọ́sọ́nà àti ìwọ̀n.",
"The atom consists of subatomic particles.", "Átọ́mù ní àwọn apá nǹkan kéékèèké nínú.",
"Inbreeding reduces genetic variation in livestock.", "Ìbímọ-tòsí ń dín ìyàtọ̀ jẹ́nétììkì kù nínú ẹran-ọ̀sìn.",
"Plant cells have a rigid cell wall.", "Sẹ́ẹ̀lì ewéko ní ògiri tí ó le nínú.",
"Electrolysis involves splitting compounds using electricity.", "Ìdásáyé-ẹ̀lékítíríkì ń lo ẹ̀lékítíríkì láti fọ́ àwọn nǹkan kẹ́míkà."
"Entropy is a measure of disorder in a system.", "Ẹ̀ńtírópì ni ìwọ̀n àìtò nínú ètò kan.",
"Photosynthesis converts light energy into chemical energy.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń sọ agbára ìmọ́lẹ̀ di agbára kẹ́míkà.",
"Algebra uses symbols to solve for unknown variables.", "Àlíjíbírà ń lo àmì láti ṣàwárí àwọn fẹ́ríábùlù tí a kò mọ̀.",
"Proper crop storage extends shelf life.", "Ìtọ́jú irúgbìn tí ó dára ń mú kí oúnjẹ pẹ́ ṣáájú kí ó tó bàjẹ́.",
"Balanced diet is crucial for animal development.", "Oúnjẹ dídọ́gba ṣe pàtàkì fún ìdàgbàsókè ẹran.",
"Covalent bonds involve electron sharing between atoms.", "Ìdè kòfélẹ́ǹtì ní pínpín ẹ̀lékítírónì láàárín àwọn átọ́mù.",
"Acceleration is defined as velocity change over time.", "Ìyára kánkán ni àyípadà ìyára lórí àkókò.",
"Hormones act as chemical messengers in the body.", "Hómónì ń ṣiṣẹ́ gẹ́gẹ́ bí oníṣẹ́ kẹ́míkà nínú ara.",
"The area of a triangle is half the base times height.", "Ààyè tíríàngùlù ni ìdajì ìpìlẹ̀ pẹ̀lú gíga.",
"Vaccination provides immunity against specific animal diseases.", "Ìtẹ̀jú-àìsàn ń pèsè ìdáàbò-bò lọ́wọ́ àwọn àrùn ẹran kan.",
"Friction acts in the opposite direction of motion.", "Ìforí-gbárí ń ṣiṣẹ́ sí ìtọ́sọ́nà tí ó ta kò ìrìn.",
"The periodic table arranges elements by properties.", "Tábìlì ìtẹ̀lé-ìwọ̀n ń ṣètò àwọn ẹ̀yà kẹ́míkà nípasẹ̀ ànímọ́ wọn.",
"Cell theory states that cells are the basic units of life.", "Ẹ̀kọ́ sẹ́ẹ̀lì sọ pé sẹ́ẹ̀lì ni ìpìlẹ̀ ẹ̀dá alààyè.",
"Soil fertility depends on organic matter content.", "Ìlera ilẹ̀ ń bẹ lórí iye àwọn nǹkan ọ̀rọ̀-àdánidá nínú rẹ̀.",
"Geometry explores the properties of shapes and spaces.", "Ìṣírò-ààyè ń ṣàwárí ànímọ́ àwọn àwòrán àti ààyè.",
"Light refraction occurs when light enters a new medium.", "Ìyípadà-ọ̀nà ìmọ́lẹ̀ ń ṣẹlẹ̀ nígbà tí ìmọ́lẹ̀ bá wọ inú nǹkan tuntun.",
"DNA is a double helix molecule.", "DNA jẹ́ mólíkùlù tí ó ní ìyí-méjì.",
"Integrated pest management uses biological and chemical methods.", "Ìṣàkóso kòkòrò-irúgbìn ń lo ọ̀nà ẹ̀dá àti kẹ́míkà.",
"The atomic number is unique to each element.", "Nọ́mbà átọ́mù jẹ́ ohun àrà fún ẹ̀yà kẹ́míkà kọ̀ọ̀kan.",
"Power equals work done divided by time.", "Agbára-iṣẹ́ dọ́gba pẹ̀lú iṣẹ́ tí a ṣe lórí àkókò."
"The area of a rectangle is length times width.", "Ààyè rẹ́kítàngùlù ni ìwọ̀n gígùn tísì ìwọ̀n gbígbòòrò.",
"Ohm's law relates potential difference to current and resistance.", "Òfin Ohm ń so ìyàtọ̀ agbára pọ̀ pẹ̀lú kọ́ọ̀ǹtì àti ìdènà.",
"Stomata are pores in leaves that allow gas exchange.", "Sítómà ni àwọn ihò inú ewé tí ó gba ìmú-kúrò gáàsì.",
"Elements in the same group have similar chemical properties.", "Àwọn ẹ̀yà kẹ́míkà tí ó wà nínú ẹgbẹ́ kan náà ní ànímọ́ kẹ́míkà tí ó jọra.",
"Soil pH testing determines the acidity of farm soil.", "Ìdánwò pH ilẹ̀ ń pinnu ìwọ̀n ásìdì ilẹ̀ ọ̀gbìn.",
"The perimeter of a circle is calculated using two pi r.", "Ìwọ̀n àyíká síríkì ni a ń ṣìṣirò rẹ̀ nípa lílo méjì pi r.",
"Speed is the distance traveled per unit time.", "Ìyára ni ìjìnnà tí ó rìn lórí àkókò.",
"Ribosomes are the sites of protein synthesis in the cell.", "Ríbósómù ni ibùdó ṣíṣé prótììnù nínú sẹ́ẹ̀lì.",
"A mixture can be separated by physical means.", "Ìdàpọ̀ nǹkan leè jẹ́ fífíyà sọ́tọ̀ nípasẹ̀ ọ̀nà ìwọ̀n ara.",
"The deep litter system is a method of poultry management.", "Ètò-ìtọ́jú-sùn-ilẹ̀ jẹ́ ọ̀nà ìṣàkóso ẹyẹ.",
"Algebraic coefficients are numbers multiplied by a variable.", "Kòẹ́físẹ́ńtì àlíjíbírà ni àwọn nọ́mbà tí a ń fi ọ̀pọ̀ fún fẹ́ríábùlù.",
"The work-energy theorem states that work equals change in kinetic energy.", "Òfin iṣẹ́-agbára sọ pé iṣẹ́ dọ́gba pẹ̀lú àyípadà agbára ìsúnni.",
"Xylem transports water, while phloem transports food.", "Ksaílẹ̀mù ń gbé omi, nígbà tí fólẹ̀mù ń gbé oúnjẹ.",
"Exothermic reactions release heat into the surroundings.", "Ìṣiṣẹ́ kẹ́míkà tí ó ń tú ooru jáde ń fi ooru sínú àyíká.",
"External parasites live on the skin of livestock.", "Àwọn kòkòrò-òde ń gbé lórí awọ ẹran-ọ̀sìn.",
"The Pythagorean theorem relates the sides of a right-angled triangle.", "Òfin Pítágóòrù ń so àwọn ẹ̀gbẹ́ tíríàngùlù oní-igun-ọ̀tún pọ̀.",
"Mass is constant, but weight depends on gravity.", "Ìwọ̀n ara kì í yí padà, ṣùgbọ́n ìwọ̀n-òòfà ń bẹ lórí òòfà ilẹ̀.",
"The vacuole in a plant cell stores nutrients and water.", "Fákúọ̀lù nínú sẹ́ẹ̀lì ewéko ń tọ́jú oúnjẹ àti omi.",
"Carbon has a valency of four.", "Kábọ̀nì ní fẹ́lẹ́nsì mẹ́rin.",
"Crop rotation helps in maintaining soil fertility.", "Ìyípadà-irúgbìn ń ràn wá lọ́wọ́ láti tọ́jú ìlera ilẹ̀."
"The sum of angles in a quadrilateral is 360 degrees.", "Ìdapọ̀ igun nínú kwadrílatẹ́ràlù jẹ́ ọgọ́rùn-ún mẹ́ta àti ọgọ́ta díírì.",
"Kinetic energy is related to the mass and velocity of an object.", "Agbára ìsúnni ní nǹkan ṣe pẹ̀lú ìwọ̀n ara àti ìyára nǹkan.",
"Nitrogen fixation is performed by bacteria in the soil.", "Ìdánú-náìtróójẹ̀nì ni àwọn báktíríà nínú ilẹ̀ ń ṣe.",
"An electric motor converts electrical energy into mechanical energy.", "Mótà ẹ̀lékítíríkì ń sọ agbára ẹ̀lékítíríkì di agbára ìṣiṣẹ́.",
"Livestock production is a major sector of the economy.", "Ìṣiṣẹ́-ẹ̀ran-ọ̀sìn jẹ́ ẹ̀ka pàtàkì nínú ọrọ̀-ajé.",
"Red blood cells carry oxygen to body tissues.", "Àwọn sẹ́ẹ̀lì ẹ̀jẹ̀ pupa ń gbé ọ̀sìgíìì lọ sí àwọn ara.",
"A parallelogram has two pairs of parallel sides.", "Párálẹ́lógírámù ní ẹ̀gbẹ́ méjì tí ó rìn pọ̀ láì parí.",
"Photosynthesis stores energy in the form of glucose.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń tọ́jú agbára nínú gúlúkóòsì.",
"Crop spacing is essential to reduce plant competition.", "Ìyọ̀ọ̀da-irúgbìn ṣe pàtàkì láti dín ìdíje ewéko kù.",
"Chemical kinetics studies the rate of reactions.", "Ìṣirò-ìyára-kẹ́míkà ń kọ́ nípa ìyára ìṣiṣẹ́.",
"Potential energy depends on height and gravity.", "Agbára ìpamọ́ ń bẹ lórí gíga àti òòfà ilẹ̀.",
"A vector has both magnitude and direction.", "Vẹ́kítọ̀ ní ìwọ̀n àti ìtọ́sọ́nà pẹ̀lú.",
"Enzymes speed up biological reactions.", "Èńsaímù ń mú àwọn ìṣiṣẹ́ ẹ̀dá alààyè yára.",
"Modern farming utilizes machines for increased efficiency.", "Iṣẹ́-ògbìn òde òní ń lo ẹ̀rọ láti mú kíṣẹ́ kánkán.",
"Diffusion is the movement of particles from high to low concentration.", "Ìtànkálẹ̀ ni rírìn àwọn nǹkan láti ibi tí ó ti pọ̀ lọ sí ibi tí ó kéré.",
"Acids are proton donors in chemical reactions.", "Ásìdì ni àwọn nǹkan tí ó ń fún ni ní pùrótónì nínú ìṣiṣẹ́ kẹ́míkà.",
"The hypothalamus regulates body temperature.", "Háyípótálámù ń ṣàkóso ìwọ̀n ooru ara.",
"A polygon with five sides is a pentagon.", "Pólígọ̀nù tí ó ní ẹ̀gbẹ́ márùn-ún ni pẹ́ńtágọ̀nù.",
"Organic farming emphasizes the use of natural fertilizers.", "Iṣẹ́-ògbìn ọ̀rọ̀-àdánidá ń tẹnu mọ́ lílo ààtàn àdánidá.",
"Frequency is the inverse of the period of a wave.", "Ìgbà-ìrìn ni ìdajì-akókò ìyípadà kan nínú ìyí-ìró."
"The refractive index measures how much light bends in a medium.", "Ìwọ̀n ìyípadà-ọ̀nà ìmọ́lẹ̀ ń wọ̀n bí ìmọ́lẹ̀ yóò ṣe tẹ̀ sí ìwọ̀n kan.",
"A quadratic equation contains a variable raised to the power of two.", "Ìṣírò-kwádírátì ní fẹ́ríábùlù tí ó ní agbára méjì.",
"Clay soil has high water retention capacity.", "Ìlẹ̀-amọ̀ ní agbára gíga láti tọ́jú omi.",
"Series circuits have only one path for electric current.", "Kọ́ọ̀kì ẹ̀lékítíríkì onítẹ̀lé ní ọ̀nà kan péré fún ṣíṣàn ẹ̀lékítíríkì.",
"Genetics is the study of how traits are passed to offspring.", "Jẹ́nétììkì ni ẹ̀kọ́ nípa bí ànímọ́ ṣe ń kọjá sí àwọn ọmọ.",
"A trapezoid has at least one pair of parallel sides.", "Tírápẹ́sọ̀ìdì ní ìpele ẹ̀gbẹ́ kan tí ó rìn pọ̀ láì parí.",
"Sound cannot travel through a vacuum.", "Ìró kò leè rìn gba inú òfo.",
"An electric circuit requires a power source and a conductor.", "Kọ́ọ̀kì ẹ̀lékítíríkì nílò ibùdó agbára àti onídìí-ṣíṣàn.",
"Inheritance patterns follow Mendel's laws of genetics.", "Ìlànà ìjogún ń tẹ̀lé òfin jẹ́nétììkì Mendel.",
"Livestock housing requires good drainage to maintain hygiene.", "Ilé-ẹ̀ran nílò ìṣàn-omi tó dára láti tọ́jú ìmọ́tótó.",
"Chemical reactivity increases down a group in the periodic table.", "Ìṣiṣẹ́ kẹ́míkà ń pọ̀ sí i bí a bá ń sọ̀kalẹ̀ nínú tábìlì ìtẹ̀lé-ìwọ̀n.",
"Work done is the product of force and displacement.", "Iṣẹ́ tí a ṣe ni ìdapọ̀ agbára àti àyípadà ìfipò.",
"The endocrine system uses hormones to regulate bodily functions.", "Ètò ẹ̀yà-ara-ọlọ́lá ń lo hómónì láti ṣàkóso iṣẹ́ ara.",
